2024-01-30-08:23:40,4383602,-9.31,0.51,1.14,-0.11,0.01,-0.07,898.02,897.93,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383602,-9.31,0.51,1.14,-0.11,0.01,-0.07,898.02,897.93,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383720,-9.31,0.51,1.15,-0.10,0.02,-0.07,898.29,897.96,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383720,-9.31,0.51,1.15,-0.10,0.02,-0.07,898.29,897.96,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383839,-9.32,0.51,1.13,-0.11,0.01,-0.07,898.20,897.98,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383839,-9.32,0.51,1.13,-0.11,0.01,-0.07,898.20,897.98,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383956,-9.32,0.50,1.16,-0.10,0.01,-0.07,898.02,897.98,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4383956,-9.32,0.50,1.16,-0.10,0.01,-0.07,898.02,897.98,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4384083,-9.31,0.51,1.16,-0.11,0.01,-0.07,897.93,897.98,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4384083,-9.31,0.51,1.16,-0.11,0.01,-0.07,897.93,897.98,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4384207,-9.33,0.50,1.17,-0.10,0.01,-0.07,898.11,897.99,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4384207,-9.33,0.50,1.17,-0.10,0.01,-0.07,898.11,897.99,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:40,4384339,-9.32,0.53,1.15,-0.10,0.01,-0.07,897.93,897.98,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384339,-9.32,0.53,1.15,-0.10,0.01,-0.07,897.93,897.98,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384473,-9.31,0.51,1.13,-0.11,0.01,-0.07,897.84,897.96,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:41,4384473,-9.31,0.51,1.13,-0.11,0.01,-0.07,897.84,897.96,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
